"suburb","postcode","state","lat","lng"
"Cobramunga","2732","NSW","-35.43569","143.89008"
"Cockwhy","2539","NSW","-35.55797","150.31869"
"Codrington","2471","NSW","-28.9542","153.23674"
"Coffee Camp","2480","NSW","-28.64547","153.21848"
"Coffs Harbour","2450","NSW","-30.30894","153.09979"
"Coggan","2849","NSW","-32.37668","150.0959"
"Cogra Bay","2083","NSW","-33.52184","151.2259"
"Coila","2537","NSW","-36.01026","150.09423"
"Coldstream","2462","NSW","-29.60028","153.11024"
"Coleambally","2707","NSW","-34.80233","145.8475"
"Colebee","2761","NSW","-33.72449","150.85843"
"Coledale","2515","NSW","-34.28837","150.94162"
"Colinroobie","2700","NSW","-34.47198","146.56104"
"Colinton","2626","NSW","-35.86419","149.19294"
"Collarenebri","2833","NSW","-29.42492","148.54232"
"Collaroy","2097","NSW","-33.73559","151.30351"
"Collaroy Plateau","2097","NSW","-33.73128","151.28955"
"Collector","2581","NSW","-34.94702","149.43022"
"Collendina","2646","NSW","-35.97143","146.22576"
"Collerina","2839","NSW","-29.53603","146.73061"
"Collie","2827","NSW","-31.69326","148.28925"
"Collingullie","2650","NSW","-35.09412","147.09137"
"Collingwood","2850","NSW","-32.60092","149.45245"
"Collins Creek","2474","NSW","-28.48222","153.03726"
"Collombatti","2440","NSW","-30.95538","152.80973"
"Collum Collum","2460","NSW","-29.26204","152.47766"
"Colly Blue","2343","NSW","-31.44757","150.14423"
"Colo","2795","NSW","-33.77583","149.26472"
"Colo","2756","NSW","-33.41666","150.80587"
"Colo Heights","2756","NSW","-33.29001","150.69933"
"Colo Vale","2575","NSW","-34.37229","150.45617"
"Colongra","2262","NSW","-33.20948","151.54445"
"Colyton","2760","NSW","-33.78218","150.79717"
"Comara","2440","NSW","-30.73922","152.38822"
"Combaning","2666","NSW","-34.48993","147.65064"
"Combara","2829","NSW","-31.15389","148.30914"
"Comberton","2540","NSW","-34.97135","150.64747"
"Comboyne","2429","NSW","-31.59665","152.47145"
"Come By Chance","2832","NSW","-30.35444","148.43556"
"Comerong Island","2540","NSW","-34.88332","150.73944"
"Commissioners Creek","2484","NSW","-28.50389","153.33404"
"Como","2226","NSW","-34.00258","151.0648"
"Comobella","2820","NSW","-32.37281","148.96955"
"Conargo","2710","NSW","-35.24861","145.17088"
"Concord","2137","NSW","-33.85608","151.10677"
"Concord West","2138","NSW","-33.8435","151.092"
"Condell Park","2200","NSW","-33.92599","151.00978"
"Condobolin","2877","NSW","-32.90509","146.96764"
"Condong","2484","NSW","-28.31449","153.4416"
"Coneac","2422","NSW","-31.8582","151.81453"
"Congarinni","2447","NSW","-30.75329","152.87378"
"Congarinni North","2447","NSW","-30.68669","152.88154"
"Congewai","2325","NSW","-32.96974","151.30144"
"Congo","2537","NSW","-35.95653","150.13504"
"Conimbia","2829","NSW","-30.68181","148.02618"
"Coniston","2500","NSW","-34.43747","150.88194"
"Conjola","2539","NSW","-35.22667","150.44972"
"Conjola Park","2539","NSW","-35.26343","150.4419"
"Connells Point","2221","NSW","-33.98536","151.09431"
"Constitution Hill","2145","NSW","-33.793","150.97503"
"Coogee","2034","NSW","-33.91965","151.25639"
"Cookamidgera","2870","NSW","-33.2371","148.30484"
"Cookardinia","2650","NSW","-35.56422","147.25084"
"Cooks Gap","2850","NSW","-32.35905","149.71733"
"Cooks Hill","2300","NSW","-32.93337","151.76836"
"Cooks Myalls","2870","NSW","-33.01405","147.98354"
"Coolabah","2831","NSW","-30.99969","146.68886"
"Coolac","2727","NSW","-34.89728","148.20172"
"Coolagolite","2550","NSW","-36.44001","149.97133"
"Coolah","2843","NSW","-31.78459","149.79245"
"Coolamon","2701","NSW","-34.79407","147.19863"
"Coolangatta","2535","NSW","-34.84991","150.71323"
"Coolangubra","2550","NSW","-37.00389","149.4556"
"Coolatai","2402","NSW","-29.20431","150.73855"
"Cooleman","2611","NSW","-35.66563","148.70878"
"Cooleys Creek","2729","NSW","-35.34206","148.08672"
"Coolgardie","2478","NSW","-28.916","153.46031"
"Coolongolook","2423","NSW","-32.21939","152.32849"
"Coolringdon","2630","NSW","-36.25841","148.98275"
"Coolumbooka","2632","NSW","-36.91991","149.33287"
"Coolumburra","2622","NSW","-35.04667","150.10099"
"Cooma","2630","NSW","-36.2482","149.11265"
"Coomba Bay","2428","NSW","-32.26987","152.43957"
"Coomba Park","2428","NSW","-32.23562","152.4568"
"Coombadjha","2460","NSW","-29.38598","152.47847"
"Coombell","2470","NSW","-29.02202","152.9468"
"Coomealla","2717","NSW","-34.09135","142.07509"
"Coomoo Coomoo","2343","NSW","-31.58027","150.10587"
"Coonabarabran","2357","NSW","-31.26238","149.21737"
"Coonamble","2829","NSW","-30.94718","148.30585"
"Coongbar","2469","NSW","-29.10812","152.69708"
"Cooperabung","2441","NSW","-31.27285","152.79153"
"Coopernook","2426","NSW","-31.83354","152.614"
"Coopers Gully","2550","NSW","-36.65093","149.79347"
"Coopers Shoot","2479","NSW","-28.69261","153.56922"
"Cooplacurripa","2424","NSW","-31.58743","151.90541"
"Coorabell","2479","NSW","-28.62759","153.50154"
"Cooranbong","2265","NSW","-33.05252","151.46763"
"Cootamundra","2590","NSW","-34.63486","148.03302"
"Cootralantra","2628","NSW","-36.28764","148.85688"
"Cooyal","2850","NSW","-32.44221","149.77728"
"Copacabana","2251","NSW","-33.48638","151.43476"
"Cope","2852","NSW","-32.26661","149.65054"
"Copeland","2422","NSW","-31.98349","151.81922"
"Copeton","2360","NSW","-29.90594","150.92619"
"Copmanhurst","2460","NSW","-29.57538","152.79706"
"Coppabella","2644","NSW","-35.75109","147.75088"
"Copperhannia","2795","NSW","-33.87559","149.21311"
"Coraki","2471","NSW","-28.98707","153.27084"
"Coralville","2443","NSW","-31.78821","152.70365"
"Coramba","2450","NSW","-30.19808","153.03705"
"Corang","2622","NSW","-35.21678","150.13345"
"Corangula","2440","NSW","-31.00033","152.68228"
"Corbie Hill","2705","NSW","-34.54124","146.50215"
"Cordeaux","2526","NSW","-34.38079","150.77681"
"Cordeaux Heights","2526","NSW","-34.44508","150.82826"
"Coree","2710","NSW","-35.29743","145.49809"
"Coreen","2646","NSW","-35.74586","146.31434"
"Corindi Beach","2456","NSW","-30.01995","153.18122"
"Corinella","2871","NSW","-33.54885","147.55321"
"Corlette","2315","NSW","-32.7248","152.11559"
"Corndale","2480","NSW","-28.70567","153.36452"
"Corney Town","2790","NSW","-33.47518","150.1778"
"Cornwallis","2756","NSW","-33.58698","150.79731"
"Corobimilla","2700","NSW","-34.85795","146.40564"
"Corowa","2646","NSW","-35.99338","146.36285"
"Corrabare","2325","NSW","-32.94909","151.21988"
"Corrimal","2518","NSW","-34.3699","150.8894"
"Corrong","2711","NSW","-34.02416","144.49898"
"Corrowong","2633","NSW","-36.90774","148.77911"
"Corunna","2546","NSW","-36.27902","150.1075"
"Cottage Point","2084","NSW","-33.61925","151.20331"
"Cottonvale","4375","NSW","-28.52409","151.97331"
"Cougal","2474","NSW","-28.36013","152.98367"
"Countegany","2630","NSW","-36.18395","149.48831"
"Courabyra","2653","NSW","-35.7026","147.98898"
"Couradda","2390","NSW","-30.0467","149.97889"
"Couragago","2720","NSW","-35.11357","148.49255"
"Couridjah","2571","NSW","-34.23558","150.55514"
"Coutts Crossing","2460","NSW","-29.85687","152.89291"
"Cow Flat","2795","NSW","-33.57423","149.51235"
"Cowabbie","2652","NSW","-34.57763","146.97163"
"Cowan","2081","NSW","-33.56981","151.16495"
"Cowper","2460","NSW","-29.57956","153.08927"
"Cowra","2794","NSW","-33.85029","148.63514"
"Coxs Creek","2849","NSW","-32.72512","150.12019"
"Coxs Crown","2849","NSW","-32.7162","150.05055"
"Crabbes Creek","2483","NSW","-28.46086","153.48447"
"Crackenback","2627","NSW","-36.43992","148.51543"
"Craigie","2632","NSW","-37.08843","149.05602"
"Cranebrook","2749","NSW","-33.70698","150.70828"
"Crangan Bay","2259","NSW","-33.16745","151.59531"
"Craven","2422","NSW","-32.13458","151.89935"
"Craven Plateau","2422","NSW","-31.87459","151.7737"
"Crawford River","2423","NSW","-32.391","152.1153"
"Crawney","2338","NSW","-31.58492","151.06081"
"Creewah","2631","NSW","-36.75749","149.37838"
"Cremorne","2090","NSW","-33.82708","151.22512"
"Cremorne Point","2090","NSW","-33.84252","151.22795"
"Crescent Head","2440","NSW","-31.21404","152.92821"
"Crestwood","2620","NSW","-35.34917","149.21607"
"Cringila","2502","NSW","-34.47206","150.86661"
"Croki","2430","NSW","-31.87358","152.59406"
"Cromer","2099","NSW","-33.73041","151.26832"
"Cronulla","2230","NSW","-34.05635","151.15411"
"Crooble","2400","NSW","-29.29121","150.27763"
"Croobyar","2539","NSW","-35.32185","150.39456"
"Crooked Corner","2583","NSW","-34.2044","149.22801"
"Crookwell","2583","NSW","-34.44934","149.45076"
"Croom","2527","NSW","-34.5952","150.80584"
"Croppa Creek","2411","NSW","-29.10538","150.30888"
"Cross Roads","2850","NSW","-32.5023","149.7067"
"Crosslands","2446","NSW","-31.4402","152.71594"
"Croudace Bay","2280","NSW","-33.00496","151.64787"
"Crowdy Bay National Park","2443","NSW","-31.78822","152.73136"
"Crowdy Head","2427","NSW","-31.84142","152.7288"
"Crows Nest","2065","NSW","-33.82557","151.20362"
"Crowther","2803","NSW","-34.12511","148.54515"
"Crowther Island","2460","NSW","-29.62704","152.9188"
"Croydon","2132","NSW","-33.88062","151.1169"
"Croydon Park","2133","NSW","-33.89732","151.10289"
"Crudine","2795","NSW","-32.98189","149.67504"
"Cryon","2832","NSW","-30.02795","148.61587"
"Crystal Creek","2484","NSW","-28.31459","153.3163"
"Cubba","2835","NSW","-31.42348","145.27324"
"Cudal","2864","NSW","-33.3232","148.73571"
"Cudgegong","2850","NSW","-32.76454","149.79316"
"Cudgel","2700","NSW","-34.68243","146.4358"
"Cudgen","2487","NSW","-28.27279","153.54674"
"Cudgera Creek","2484","NSW","-28.38739","153.51637"
"Cudmirrah","2540","NSW","-35.19906","150.55696"
"Culburra Beach","2540","NSW","-34.9216","150.75543"
"Culcairn","2660","NSW","-35.68554","147.00136"
"Cullen Bullen","2790","NSW","-33.27423","150.01697"
"Cullenbone","2850","NSW","-32.49193","149.50653"
"Cullendore","2372","NSW","-28.48437","152.13945"
"Cullerin","2581","NSW","-34.78474","149.35514"
"Cullivel","2645","NSW","-35.25167","146.46487"
"Culmaran Creek","2469","NSW","-28.86844","152.6701"
"Cumbalum","2478","NSW","-28.81697","153.53722"
"Cumbandry","2852","NSW","-32.36687","149.60688"
"Cumberland Reach","2756","NSW","-33.46312","150.89448"
"Cumbo","2850","NSW","-32.40095","149.87855"
"Cumborah","2832","NSW","-29.61333","147.62579"
"Cumnock","2867","NSW","-32.92957","148.66708"
"Cundle Flat","2424","NSW","-31.81096","151.99367"
"Cundletown","2430","NSW","-31.88074","152.52287"
"Cundumbul","2866","NSW","-32.85438","148.91874"
"Cunjurong Point","2539","NSW","-35.26473","150.50602"
"Cunningar","2587","NSW","-34.56549","148.4101"
"Cunninyeuk","2734","NSW","-35.24726","143.89834"
"Curban","2827","NSW","-31.52839","148.57503"
"Curl Curl","2096","NSW","-33.76971","151.28907"
"Curlew Waters","2672","NSW","-33.25572","146.43725"
"Curlewis","2381","NSW","-31.19235","150.25962"
"Curlwaa","2648","NSW","-34.10643","141.981"
"Curra Creek","2820","NSW","-32.66748","148.83183"
"Currabubula","2342","NSW","-31.22735","150.67283"
"Curragh","2795","NSW","-33.95091","149.20604"
"Curramore","2533","NSW","-34.62282","150.76453"
"Currans Hill","2567","NSW","-34.04634","150.77377"
"Currarong","2540","NSW","-35.01502","150.82088"
"Currawang","2580","NSW","-34.97808","149.53976"
"Currawarna","2650","NSW","-34.96452","147.07115"
"Curraweela","2580","NSW","-34.24887","149.79017"
"Curricabark","2422","NSW","-31.72703","151.66818"
"Currowan","2536","NSW","-35.57128","150.09759"
"Cuttabri","2388","NSW","-30.43573","149.15986"
"Cuttagee","2546","NSW","-36.48445","150.03813"
"Dabee","2849","NSW","-32.85032","150.0517"
"Daceyville","2032","NSW","-33.9289","151.22527"
"Dairy Arm","2325","NSW","-33.04921","151.18523"
"Dairy Flat","2474","NSW","-28.37254","152.72132"
"Dairymans Plains","2630","NSW","-36.20911","149.0569"
"Daleys Point","2257","NSW","-33.50408","151.35585"
"Dalgety","2628","NSW","-36.52179","148.81313"
"Dalmeny","2546","NSW","-36.1642","150.11306"
"Dalmorton","2460","NSW","-29.80273","152.47388"
"Dalswinton","2328","NSW","-32.41961","150.70796"
"Dalton","2581","NSW","-34.72666","149.18382"
"Dalwood","2477","NSW","-28.89386","153.41514"
"Dalwood","2335","NSW","-32.63101","151.41408"
"Dandaloo","2823","NSW","-32.23164","147.65084"
"Dandry","2357","NSW","-31.04425","149.4439"
"Dangar Island","2083","NSW","-33.53953","151.23943"
"Dangarsleigh","2350","NSW","-30.62796","151.68227"
"Dangelong","2630","NSW","-36.33244","149.26193"
"Dapto","2530","NSW","-34.50371","150.79501"
"Darawank","2428","NSW","-32.10767","152.50333"
"Darbalara","2722","NSW","-35.05454","148.25872"
"Darbys Falls","2793","NSW","-33.90572","148.84997"
"Dareton","2717","NSW","-34.098","142.03456"
"Dargan","2786","NSW","-33.48652","150.25132"
"Dark Corner","2795","NSW","-33.30404","149.89435"
"Darkes Forest","2508","NSW","-34.21628","150.90705"
"Darkwood","2454","NSW","-30.429","152.63799"
"Darling Point","2027","NSW","-33.87237","151.2356"
"Darlinghurst","2010","NSW","-33.8794","151.22078"
"Darlington","2330","NSW","-32.55937","151.16008"
"Darlington","2008","NSW","-33.89089","151.19334"
"Darlington Point","2706","NSW","-34.57878","145.86835"
"Darlow","2729","NSW","-35.34057","147.95413"
"Dartbrook","2336","NSW","-32.14789","150.81697"
"Daruka","2340","NSW","-31.04092","150.97152"
"Davidson","2085","NSW","-33.7395","151.19204"
"Davis Creek","2336","NSW","-32.18036","151.20522"
"Davistown","2251","NSW","-33.4847","151.36192"
"Dawes Point","2000","NSW","-33.85619","151.20699"
"Daysdale","2646","NSW","-35.59552","146.3712"
"Dean Park","2761","NSW","-33.73536","150.8596"
"Deauville","2443","NSW","-31.66987","152.7881"
"Debenham","2446","NSW","-31.47725","152.24772"
"Dee Why","2099","NSW","-33.75117","151.29037"
"Deep Creek","2460","NSW","-29.15318","152.64413"
"Deep Creek","2440","NSW","-30.96831","152.70964"
"Deep Creek","2469","NSW","-28.96734","152.68641"
"Deepwater","2371","NSW","-29.44428","151.95257"
"Deer Vale","2453","NSW","-30.34938","152.53928"
"Delegate","2633","NSW","-37.03792","148.90325"
"Delungra","2403","NSW","-29.6349","150.77077"
"Denham Court","2565","NSW","-33.98157","150.8294"
"Denhams Beach","2536","NSW","-35.75131","150.21219"
"Deniliquin","2710","NSW","-35.54781","144.88599"
"Denistone","2114","NSW","-33.79872","151.08981"
"Denistone East","2112","NSW","-33.79683","151.09667"
"Denistone West","2114","NSW","-33.80082","151.07693"
"Denman","2328","NSW","-32.3774","150.70215"
"Depot Beach","2536","NSW","-35.62698","150.32622"
"Derriwong","2877","NSW","-33.09632","147.35034"
"Deua","2537","NSW","-35.92784","149.8148"
"Deua River Valley","2537","NSW","-35.78602","149.91124"
"Devils Hole","2550","NSW","-36.87327","149.64948"
"Dewitt","2422","NSW","-31.79056","151.77151"
"Dharruk","2770","NSW","-33.74965","150.81483"
"Dhulura","2650","NSW","-35.01394","147.30905"
"Dhuragoon","2733","NSW","-35.20462","144.10834"
"Diamond Beach","2430","NSW","-32.02998","152.54143"
"Diamond Head","2443","NSW","-31.69982","152.76911"
"Diehard","2370","NSW","-29.70092","152.0916"
"Diggers Camp","2462","NSW","-29.8122","153.27338"
"Dignams Creek","2546","NSW","-36.31507","149.97006"
"Dilkoon","2460","NSW","-29.50092","152.97627"
"Dilpurra","2734","NSW","-35.17289","143.7143"
"Dingo Forest","2429","NSW","-31.69782","152.145"
"Dinoga","2404","NSW","-30.00344","150.58537"
"Dirnaseer","2666","NSW","-34.59719","147.74055"
"Dirty Creek","2456","NSW","-29.99381","153.14901"
"Dobies Bight","2470","NSW","-28.79901","152.94078"
"Doctor George Mountain","2550","NSW","-36.66422","149.8972"
"Doctors Gap","2790","NSW","-33.49214","150.17753"
"Dog Rocks","2795","NSW","-33.76115","149.61603"
"Dolans Bay","2229","NSW","-34.06337","151.12578"
"Dolls Point","2219","NSW","-33.99339","151.14479"
"Dollys Flat","2429","NSW","-31.8646","152.30188"
"Dolphin Point","2539","NSW","-35.40154","150.44386"
"Dombarton","2530","NSW","-34.45461","150.76772"
"Donald Creek","2350","NSW","-30.42438","151.76057"
"Dondingalong","2440","NSW","-31.15151","152.74915"
"Doon Doon","2484","NSW","-28.48988","153.30711"
"Doonbah","2473","NSW","-29.08411","153.37511"
"Doonside","2767","NSW","-33.76242","150.87007"
"Dooralong","2259","NSW","-33.17548","151.36978"
"Dora Creek","2264","NSW","-33.0748","151.50392"
"Dorrigo","2453","NSW","-30.32769","152.69235"
"Dorrigo Mountain","2453","NSW","-30.3706","152.72224"
"Dorroughby","2480","NSW","-28.65866","153.35848"
"Double Bay","2028","NSW","-33.87908","151.24315"
"Doubtful Creek","2470","NSW","-28.71","152.87387"
"Douglas Park","2569","NSW","-34.19364","150.7127"
"Dover Heights","2030","NSW","-33.87402","151.28116"
"Downside","2650","NSW","-34.99863","147.35283"
"Doyalson","2262","NSW","-33.19446","151.51122"
"Doyalson North","2262","NSW","-33.18118","151.54394"
"Doyles Creek","2330","NSW","-32.59694","150.77275"
"Doyles River","2446","NSW","-31.45264","152.12744"
"Drake","2469","NSW","-28.90294","152.41252"
"Drildool","2386","NSW","-30.20562","149.02273"
"Dripstone","2820","NSW","-32.63593","149.01264"
"Drummoyne","2047","NSW","-33.85205","151.15424"
"Dry Creek","2337","NSW","-31.89206","150.81651"
"Dry Plain","2630","NSW","-36.07901","148.93224"
"Dubbo","2830","NSW","-32.28141","148.60433"
"Duck Creek","2469","NSW","-28.61765","152.66952"
"Duckenfield","2321","NSW","-32.74045","151.68297"
"Duckmaloi","2787","NSW","-33.68113","149.95678"
"Dudley","2290","NSW","-32.99085","151.72001"
"Duffys Forest","2084","NSW","-33.67472","151.1894"
"Dulguigan","2484","NSW","-28.27956","153.42052"
"Dulwich Hill","2203","NSW","-33.9047","151.13884"
"Dum Dum","2484","NSW","-28.38918","153.35417"
"Dumaresq","2350","NSW","-30.43302","151.55409"
"Dumaresq Island","2430","NSW","-31.90849","152.51045"
"Dumaresq Valley","2372","NSW","-29.16891","151.47401"
"Dumbudgery","2460","NSW","-29.29921","152.52093"
"Dunbible","2484","NSW","-28.37172","153.4002"
"Dunbogan","2443","NSW","-31.66011","152.81428"
"Duncans Creek","2340","NSW","-31.38621","151.20537"
"Dundas","2117","NSW","-33.80329","151.04263"
"Dundas Valley","2117","NSW","-33.79216","151.05607"
"Dundee","2370","NSW","-29.57044","151.91565"
"Dundurrabin","2453","NSW","-30.14048","152.51949"
"Dunedoo","2844","NSW","-32.04171","149.29069"
"Dungarubba","2480","NSW","-28.99214","153.37623"
"Dungay","2484","NSW","-28.2716","153.35496"
"Dungeree","2849","NSW","-32.76557","149.85646"
"Dungog","2420","NSW","-32.40248","151.75277"
"Dungowan","2340","NSW","-31.21904","151.18093"
"Dunkeld","2795","NSW","-33.41056","149.48096"
"Dunmore","2529","NSW","-34.6161","150.82304"
"Dunolly","2330","NSW","-32.55481","151.16931"
"Dunoon","2480","NSW","-28.66175","153.32695"
"Duns Creek","2321","NSW","-32.60976","151.64102"
"Dunville Loop","2849","NSW","-32.92136","150.14117"
"Dural","2158","NSW","-33.68508","151.04147"
"Dural","2330","NSW","-32.58731","150.86086"
"Duramana","2795","NSW","-33.25552","149.54998"
"Duranbah","2487","NSW","-28.30081","153.52916"
"Duri","2344","NSW","-31.23671","150.80801"
"Duroby","2486","NSW","-28.24339","153.46161"
"Durran Durra","2622","NSW","-35.33687","149.87272"
"Durras North","2536","NSW","-35.62697","150.29501"
"Durren Durren","2259","NSW","-33.18278","151.39636"
"Duval","2350","NSW","-30.41398","151.63446"
"Dyers Crossing","2429","NSW","-32.07864","152.30093"
"Dyraaba","2470","NSW","-28.7818","152.86034"
"Dyrring","2330","NSW","-32.48973","151.23312"
"Eagle Vale","2558","NSW","-34.03797","150.81128"
"Eagleton","2324","NSW","-32.69613","151.77984"
"Earlwood","2206","NSW","-33.92492","151.13127"
"East Albury","2640","NSW","-36.09041","146.93912"
"East Ballina","2478","NSW","-28.85856","153.58891"
"East Branxton","2335","NSW","-32.65641","151.36458"
"East Coraki","2471","NSW","-29.0129","153.31092"
"East Corrimal","2518","NSW","-34.37748","150.91219"
"East Gosford","2250","NSW","-33.43514","151.35463"
"East Gresford","2311","NSW","-32.41426","151.56219"
"East Hills","2213","NSW","-33.96119","150.98818"
"East Jindabyne","2627","NSW","-36.41034","148.66825"
"East Kangaloon","2576","NSW","-34.52103","150.60395"
"East Kempsey","2440","NSW","-31.08128","152.85162"
"East Killara","2071","NSW","-33.75738","151.18183"
"East Kurrajong","2758","NSW","-33.50486","150.78003"
"East Lindfield","2070","NSW","-33.76741","151.18832"
"East Lismore","2480","NSW","-28.82342","153.2861"
"East Lynne","2536","NSW","-35.58869","150.27326"
"East Maitland","2323","NSW","-32.76201","151.58779"
"East Ryde","2113","NSW","-33.8103","151.13555"
"East Seaham","2324","NSW","-32.6322","151.76682"
"East Tamworth","2340","NSW","-31.09867","150.95268"
"East Wagga Wagga","2650","NSW","-35.12879","147.40005"
"East Wardell","2477","NSW","-28.96332","153.4839"
"Eastern Creek","2766","NSW","-33.79734","150.84976"
"Eastgardens","2036","NSW","-33.94502","151.22653"
"Eastlakes","2018","NSW","-33.93108","151.21145"
"Eastwood","2122","NSW","-33.78849","151.08514"
"Eatonsville","2460","NSW","-29.6395","152.82913"
"Ebenezer","2756","NSW","-33.51676","150.8887"
"Ebor","2453","NSW","-30.40543","152.31573"
"Eccleston","2311","NSW","-32.25609","151.48406"
"Edderton","2333","NSW","-32.35888","150.83529"
"Eden","2551","NSW","-37.01948","149.89459"
"Eden Creek","2474","NSW","-28.58855","152.91506"
"Edensor Park","2176","NSW","-33.87884","150.87759"
"Edenville","2474","NSW","-28.68648","152.95395"
"Edgecliff","2027","NSW","-33.87977","151.2361"
"Edgeroi","2390","NSW","-30.07612","149.76785"
"Edgeworth","2285","NSW","-32.92046","151.61799"
"Edith","2787","NSW","-33.77493","149.93974"
"Edmondson Park","2174","NSW","-33.96407","150.85104"
"Edrom","2551","NSW","-37.13357","149.95858"
"Eenaweena","2824","NSW","-31.6014","147.61224"
"Eglinton","2795","NSW","-33.36736","149.54308"
"Eighteen Mile","2460","NSW","-29.28055","152.58416"
"Elands","2429","NSW","-31.5834","152.27206"
"Elanora Heights","2101","NSW","-33.70172","151.27318"
"Elcombe","2404","NSW","-29.8796","150.34328"
"Elderslie","2570","NSW","-34.0577","150.71508"
"Elderslie","2335","NSW","-32.58276","151.34684"
"Eleebana","2282","NSW","-32.99313","151.64656"
"Elermore Vale","2287","NSW","-32.91661","151.66192"
"Elizabeth Bay","2011","NSW","-33.87169","151.22834"
"Elizabeth Beach","2428","NSW","-32.33199","152.53833"
"Elizabeth Hills","2171","NSW","-33.90019","150.84825"
"Ellalong","2325","NSW","-32.92948","151.31132"
"Elland","2460","NSW","-29.78072","152.89999"
"Ellangowan","2470","NSW","-29.0329","153.09334"
"Ellenborough","2446","NSW","-31.48062","152.40515"
"Ellerslie","2729","NSW","-35.30768","147.9133"
"Ellerslie","2648","NSW","-33.82307","142.02494"
"Ellerston","2337","NSW","-31.77271","151.3306"
"Ellis Lane","2570","NSW","-34.03421","150.679"
"Elong Elong","2831","NSW","-32.15257","149.0762"
"Elrington","2325","NSW","-32.86458","151.42921"
"Elsmore","2360","NSW","-29.82885","151.2876"
"Eltham","2480","NSW","-28.75948","153.4095"
"Elvina Bay","2105","NSW","-33.64133","151.27622"
"Emerald Beach","2456","NSW","-30.17688","153.19338"
"Emerald Hill","2380","NSW","-30.86736","150.057"
"Emerton","2770","NSW","-33.7429","150.80586"
"Emmaville","2371","NSW","-29.37325","151.5496"
"Empire Bay","2257","NSW","-33.5035","151.36918"
"Empire Vale","2478","NSW","-28.92253","153.51995"
"Emu Heights","2750","NSW","-33.7327","150.64899"
"Emu Plains","2750","NSW","-33.74635","150.66375"
"Emu Swamp","2800","NSW","-33.30159","149.19573"
"Endrick","2622","NSW","-35.2369","150.24726"
"Enfield","2136","NSW","-33.89006","151.09611"
"Engadine","2233","NSW","-34.05778","151.01793"
"Englorie Park","2560","NSW","-34.08048","150.79659"
"Enmore","2350","NSW","-30.72933","151.84406"
"Enmore","2042","NSW","-33.90021","151.16983"
"Enngonia","2840","NSW","-29.2745","145.91309"
"Environa","2620","NSW","-35.41142","149.18114"
"Epping","2121","NSW","-33.77377","151.07681"
"Eraring","2264","NSW","-33.07332","151.52721"
"Eremerang","2877","NSW","-32.60965","146.40021"
"Erigolia","2669","NSW","-33.91933","146.3892"
"Erin Vale","2663","NSW","-34.68578","147.54336"
"Erina","2250","NSW","-33.43758","151.38853"
"Erina Heights","2260","NSW","-33.42718","151.40825"
"Ermington","2115","NSW","-33.8105","151.06162"
"Erowal Bay","2540","NSW","-35.10407","150.66262"
"Errowanbang","2791","NSW","-33.53048","149.03722"
"Erskine Park","2759","NSW","-33.80912","150.79558"
"Erskineville","2043","NSW","-33.90226","151.18621"
"Erudgere","2850","NSW","-32.57413","149.50216"
"Eschol Park","2558","NSW","-34.03422","150.80399"
"Esk","2472","NSW","-29.25558","153.33178"
"Essington","2787","NSW","-33.74363","149.71762"
"Estella","2650","NSW","-35.07592","147.35095"
"Ettalong Beach","2257","NSW","-33.51595","151.33432"
"Ettamogah","2640","NSW","-36.00155","146.95585"
"Ettrema","2540","NSW","-34.88137","150.296"
"Ettrick","2474","NSW","-28.64803","152.91034"
"Euabalong","2877","NSW","-33.02311","146.36863"
"Euabalong West","2877","NSW","-33.05696","146.39403"
"Euberta","2650","NSW","-35.05047","147.21038"
"Euchareena","2866","NSW","-32.93942","149.11681"
"Eucumbene","2628","NSW","-36.13604","148.62377"
"Eugowra","2806","NSW","-33.41999","148.35218"
"Eulah Creek","2390","NSW","-30.36639","149.99773"
"Eumungerie","2822","NSW","-31.98493","148.68346"
"Eunanoreenya","2650","NSW","-35.08114","147.45686"
"Eungai Creek","2441","NSW","-30.81825","152.87877"
"Eungai Rail","2441","NSW","-30.85947","152.88748"
"Eungella","2484","NSW","-28.34847","153.30817"
"Eureka","2480","NSW","-28.68676","153.43693"
"Eurimbla","2867","NSW","-32.84864","148.81504"
"Eurobodalla","2545","NSW","-36.16624","149.95402"
"Euroka","2440","NSW","-31.07817","152.8014"
"Euroley","2700","NSW","-34.70458","146.3161"
"Eurongilly","2663","NSW","-34.93064","147.80669"
"Eurunderee","2850","NSW","-32.51082","149.61037"
"Euston","2737","NSW","-34.37351","142.83635"
"Evans Head","2473","NSW","-29.11426","153.42336"
"Evans Plains","2795","NSW","-33.45879","149.48258"
"Eveleigh","2015","NSW","-33.89576","151.19219"
"Eviron","2484","NSW","-28.30647","153.48103"
"Ewingar","2469","NSW","-29.09105","152.50753"
"Ewingsdale","2481","NSW","-28.63901","153.55042"
"Exeter","2579","NSW","-34.61565","150.28504"
"Failford","2430","NSW","-32.09311","152.44376"
"Fairfield","2165","NSW","-33.86904","150.95102"
"Fairfield East","2165","NSW","-33.87535","150.97324"
"Fairfield Heights","2165","NSW","-33.86713","150.94148"
"Fairfield West","2165","NSW","-33.87024","150.92391"
"Fairholme","2871","NSW","-33.30883","147.37944"
"Fairlight","2094","NSW","-33.79412","151.27428"
"Fairy Hill","2470","NSW","-28.76136","152.98547"
